region_id,dow,hour,traffic_share
645530,1,0,0.001704
645530,1,1,0.000917
645530,1,2,0.000546
645530,1,3,0.000314
645530,1,4,0.000330
645530,1,5,0.000519
645530,1,6,0.000936
645530,1,7,0.002245
645530,1,8,0.004810
645530,1,9,0.008331
645530,1,10,0.010391
645530,1,11,0.011074
645530,1,12,0.010605
645530,1,13,0.011043
645530,1,14,0.010327
645530,1,15,0.010384
645530,1,16,0.010066
645530,1,17,0.009061
645530,1,18,0.008599
645530,1,19,0.009619
645530,1,20,0.008459
645530,1,21,0.007362
645530,1,22,0.005814
645530,1,23,0.004044
645530,2,0,0.002180
645530,2,1,0.001344
645530,2,2,0.000683
645530,2,3,0.000494
645530,2,4,0.000459
645530,2,5,0.000609
645530,2,6,0.001632
645530,2,7,0.003060
645530,2,8,0.006601
645530,2,9,0.010177
645530,2,10,0.013080
645530,2,11,0.013279
645530,2,12,0.013503
645530,2,13,0.013102
645530,2,14,0.012768
645530,2,15,0.012800
645530,2,16,0.012433
645530,2,17,0.010781
645530,2,18,0.011030
645530,2,19,0.008125
645530,2,20,0.007171
645530,2,21,0.005789
645530,2,22,0.004815
645530,2,23,0.003232
645530,3,0,0.001907
645530,3,1,0.000958
645530,3,2,0.000649
645530,3,3,0.000351
645530,3,4,0.000362
645530,3,5,0.000533
645530,3,6,0.001163
645530,3,7,0.002321
645530,3,8,0.005142
645530,3,9,0.008918
645530,3,10,0.010939
645530,3,11,0.011708
645530,3,12,0.011239
645530,3,13,0.010866
645530,3,14,0.010748
645530,3,15,0.010204
645530,3,16,0.010190
645530,3,17,0.009592
645530,3,18,0.008923
645530,3,19,0.008781
645530,3,20,0.007188
645530,3,21,0.005936
645530,3,22,0.005098
645530,3,23,0.003338
645530,4,0,0.002067
645530,4,1,0.001153
645530,4,2,0.000597
645530,4,3,0.000371
645530,4,4,0.000356
645530,4,5,0.000605
645530,4,6,0.001293
645530,4,7,0.002583
645530,4,8,0.005888
645530,4,9,0.008827
645530,4,10,0.010339
645530,4,11,0.010971
645530,4,12,0.011146
645530,4,13,0.010828
645530,4,14,0.010287
645530,4,15,0.010054
645530,4,16,0.009825
645530,4,17,0.009344
645530,4,18,0.008663
645530,4,19,0.007798
645530,4,20,0.007267
645530,4,21,0.006404
645530,4,22,0.004665
645530,4,23,0.003431
645530,5,0,0.001851
645530,5,1,0.000952
645530,5,2,0.000543
645530,5,3,0.000410
645530,5,4,0.000282
645530,5,5,0.000518
645530,5,6,0.001266
645530,5,7,0.002532
645530,5,8,0.005241
645530,5,9,0.008667
645530,5,10,0.010099
645530,5,11,0.010352
645530,5,12,0.010502
645530,5,13,0.009897
645530,5,14,0.010027
645530,5,15,0.010040
645530,5,16,0.009182
645530,5,17,0.008812
645530,5,18,0.008614
645530,5,19,0.007830
645530,5,20,0.006655
645530,5,21,0.005873
645530,5,22,0.004536
645530,5,23,0.002962
645530,6,0,0.001915
645530,6,1,0.001018
645530,6,2,0.000565
645530,6,3,0.000361
645530,6,4,0.000308
645530,6,5,0.000509
645530,6,6,0.001069
645530,6,7,0.002008
645530,6,8,0.004836
645530,6,9,0.007916
645530,6,10,0.009747
645530,6,11,0.009976
645530,6,12,0.010081
645530,6,13,0.009943
645530,6,14,0.009538
645530,6,15,0.009032
645530,6,16,0.008896
645530,6,17,0.008699
645530,6,18,0.008248
645530,6,19,0.007476
645530,6,20,0.006259
645530,6,21,0.005276
645530,6,22,0.004273
645530,6,23,0.002911
645530,7,0,0.001775
645530,7,1,0.001000
645530,7,2,0.000582
645530,7,3,0.000418
645530,7,4,0.000295
645530,7,5,0.000501
645530,7,6,0.000986
645530,7,7,0.002075
645530,7,8,0.004177
645530,7,9,0.007013
645530,7,10,0.008774
645530,7,11,0.009516
645530,7,12,0.009954
645530,7,13,0.009282
645530,7,14,0.009083
645530,7,15,0.008896
645530,7,16,0.008629
645530,7,17,0.008159
645530,7,18,0.007414
645530,7,19,0.006617
645530,7,20,0.005883
645530,7,21,0.005064
645530,7,22,0.004029
645530,7,23,0.002910
621590,1,0,0.000416
621590,1,1,0.000410
621590,1,2,0.000765
621590,1,3,0.001663
621590,1,4,0.003974
621590,1,5,0.007492
621590,1,6,0.009669
621590,1,7,0.010753
621590,1,8,0.011195
621590,1,9,0.010762
621590,1,10,0.010959
621590,1,11,0.010654
621590,1,12,0.010331
621590,1,13,0.009521
621590,1,14,0.009042
621590,1,15,0.008849
621590,1,16,0.008213
621590,1,17,0.007151
621590,1,18,0.005807
621590,1,19,0.005441
621590,1,20,0.003311
621590,1,21,0.001969
621590,1,22,0.001233
621590,1,23,0.000825
621590,2,0,0.000594
621590,2,1,0.000570
621590,2,2,0.001180
621590,2,3,0.002464
621590,2,4,0.005520
621590,2,5,0.009355
621590,2,6,0.012254
621590,2,7,0.013226
621590,2,8,0.013756
621590,2,9,0.013938
621590,2,10,0.013379
621590,2,11,0.012911
621590,2,12,0.012450
621590,2,13,0.011711
621590,2,14,0.011277
621590,2,15,0.010763
621590,2,16,0.009848
621590,2,17,0.008838
621590,2,18,0.007370
621590,2,19,0.004767
621590,2,20,0.002756
621590,2,21,0.001662
621590,2,22,0.001056
621590,2,23,0.000690
621590,3,0,0.000472
621590,3,1,0.000497
621590,3,2,0.000932
621590,3,3,0.002004
621590,3,4,0.004311
621590,3,5,0.007518
621590,3,6,0.009896
621590,3,7,0.011313
621590,3,8,0.011273
621590,3,9,0.011495
621590,3,10,0.011327
621590,3,11,0.010651
621590,3,12,0.010251
621590,3,13,0.009402
621590,3,14,0.009105
621590,3,15,0.008747
621590,3,16,0.008229
621590,3,17,0.007264
621590,3,18,0.005963
621590,3,19,0.004607
621590,3,20,0.002789
621590,3,21,0.001625
621590,3,22,0.001015
621590,3,23,0.000643
621590,4,0,0.000499
621590,4,1,0.000532
621590,4,2,0.000956
621590,4,3,0.002014
621590,4,4,0.004286
621590,4,5,0.007464
621590,4,6,0.009637
621590,4,7,0.010718
621590,4,8,0.010965
621590,4,9,0.010869
621590,4,10,0.010498
621590,4,11,0.010191
621590,4,12,0.009849
621590,4,13,0.009325
621590,4,14,0.009028
621590,4,15,0.008615
621590,4,16,0.007956
621590,4,17,0.006900
621590,4,18,0.005730
621590,4,19,0.004336
621590,4,20,0.002744
621590,4,21,0.001596
621590,4,22,0.000988
